table	column	type	description
contig	possible_source	text	The source of contig, the category with the highest score. Its value is 'phage' or 'chromosome' or 'plasmid'. This column is used for searching 'phage', 'chromosome' or 'plasmid' contig.
gene_annotation	id	int4	(Primary Key) ID for each record in the this table.
gene_annotation	contig_id	int4	(Foreign Key) Related to 'id' column of 'contig' table.
gene_annotation	gene	type_gene	Name of the gene.
gene_annotation	protein_id	int4	(Foreign Key) Related to 'id' column of 'protein' table.
gene_annotation	genetype	type_genotype	Type of gene found in any of the contigs. Possible values: tmRNA (transfer-messenger RNA), rRNA (ribosomal RNA), tRNA (transfer RNA), CDS (coding sequence)
gene_annotation	ec_number	varchar(16)	If the identified gene is an enzyme this field stores its Enzyme Commission number (EC number).
gene_annotation	cog_reference	varchar(8)	If the identified gene has a Database of Clusters of Orthologous Genes (COG) id, this field displays it.
gene_annotation	pos_start	int4	Start position of the gene within the contig.
gene_annotation	pos_stop	int4	End position of the gene within the contig.
gene_annotation	length	int4	Length of the gene.
gene_annotation	reverse	bool	Indicates whether a feature is located on the reverse (complementary) strand. The value is 'TRUE' if on reverse strand and 'FALSE' if not in reverse strand.
gtdb	id	int4	(Primary Key) ID for each record in the this table.
gtdb	mag_reference_id	int4	(Foreign Key) Related to 'id' column of 'mag_reference' table.
gtdb	tax_gtdb_id	int4	(Foreign Key) Related to 'id' column of 'tax_gtdb' table.
gtdb	classification_method	type_classification_method	Indicates the rule used to classify the genome. This field could be one of the following: 'taxonomic classification fully defined by topology','ANI', 'taxonomic classification defined by topology and ANI', 'taxonomic novelty determined using RED'
gtdb	msa_percent	float4	Indicates the percentage of the marker-gene sequence alignment (MSA) spanned by the genome.
gtdb	translation_table	float4	Indicates the translation table used to call genes for each genome. (https://www.ncbi.nlm.nih.gov/Taxonomy/Utils/wprintgc.cgi)
gtdb	red_value	float4	Indicates, when required, the relative evolutionary divergence (RED) for a query genome. It is not calculated when the query genome can be classified based on average nucleotide identity (ANI).
location	id	int4	(Primary Key) ID for each record in this table
location	country	varchar(16)	Country of origin.
location	city	varchar(32)	City of origin.
location	plant	varchar(32)	Name of the sewage treatment plant of origin.
location	lat	float8	Latitude of the sampling site.
location	lon	float8	Longitude of the sampling site.
mag_abundance_clr	mag_reference_id	int4	(Foreign Key) Related to 'id' column of 'mag_reference' 
mag_abundance_clr	meta_id	int4	(Foreign Key) Related to 'id' column of 'meta' table.
mag_abundance_clr	clr	float4	 The mag abundance in clr per sample.
mag_reference	id	int4	(Primary Key) ID for each record in this table.
mag_reference	bin_number	int4	Number of bin/MAG in a specific sample.
mag_reference	run	int4	Identifies the sequencing run associated with each sample. Some samples were sequenced more than once, and this column helps differentiate between different sequencing runs for the same sample.
mag_reference	name	varchar(64)	Name of the bin/MAG.
mag_reference	assembly_type	type_assembly	This column specifies the assembly type used to generate the contigs within each MAG. Quality-filtered reads were first assembled individually for each sample (single-sample assembly). Samples were grouped by site, and reads from each site were assembled together (co-assembly). The resulting contigs from these assemblies were then used for binning and genome reconstruction.
meta	id	int4	(Primary Key) ID for each record in this table.
meta	sample_id	int4	This is a unique ID for each samples.
meta	location_id	int4	(Foreign Key) Related to 'id' column of 'location' table.
meta	collection_date	date	The collection date of the sewage sample. Format: yyyy-mm-dd
meta	complete_name	varchar(64)	Full name of the sewage sample. Example: DTU (Technical University of Denmark)_2022 (Year of sequencing)_1015068 (unique sample id)_1 (replica id)_MG (metagenome)_IT (country)_BO (city) _210323 (collection date)_GSL_856 (another sample id)
meta	lockdown	bool	During the COVID-19 pandemic mobility in the cities were limited. This is refered to as COVID-19 lockdown. The lockdown started around 17 of March in 2020. Values in this column: 'TRUE' if it was collected during lockdown or 'FALSE' if it was collected not during lockdown
meta	ph	float8	The pH of the sewage sample at the time of the sample collection. Some cell is empty so remove these cells before ordering this column.
meta	temperature	float8	The sewage temperature (in degrees Celsius) at the time of sample collection. Some cell is empty so remove these cells before ordering this column. 
protein	id	int4	(Primary Key) ID for each record in the this table.
protein	description	varchar(128)	Name of the protein coded by the gene 
qpcr	meta_id	int4	(Foreign Key) Related to 'id' column of 'meta' table.
qpcr	qpcr_target_id	int4	(Foreign Key) Related to 'id' column of 'qpcr_target' table. 
qpcr	tax_gtdb_id	int4	(Foreign Key) Related to 'id' column of 'tax_gtdb' table.
qpcr	pathogen_name	varchar(96)	Name of the pathogen targeted in the qPCR reaction.
qpcr	is_present	bool	This column indicates if the qPCR test is positive, meaning that the target pathogen is detected in the sample. Possible values: TRUE, NA . 
qpcr	ct	float8	The Ct values for positive samples.
relationship_gtdb	tax_gtdb_id	int4	(Foreign Key) Related to 'id' column of 'tax_gtdb' table.
relationship_gtdb	rank	type_rank	Rank of the taxon on the given node_id.
relationship_gtdb	tax_gtdb_id_parent	int4	Identification for the taxon above the taxon indicated with the node_id.
tax_gtdb	id	int4	(Primary Key) ID for each record in the this table.
tax_gtdb	name	varchar(40)	Name of the taxon identified conforming to GTDB release 220
tax_gtdb	rank	type_rank	Rank of the identified taxon. Possible values are: 'species', 'family', 'order', 'kingdom', 'phylum', 'genus'
tax_gtdb	human_microbiome	bool	Indicates whether the species is part of the Unified Human Gastrointestinal Genome (UHGG) collection. If it is 'TRUE' then it parts of the human gastrointestinal genome, if it is 'FALSE' then it is not part of it.
tax_gtdb	ncbi_reference	varchar(16)	NCBI reference ID of the identified species.
qpcr_target	id	int4	(Primary Key) ID for each record in the this table.
qpcr_target	target	varchar(8)	The target sequence (gene, genetic marker, or pathogen-specific region) that the qPCR assay is designed to detect in order to identify the pathogen (specified in the 'qpcr' table).
qpcr_target	forward_primer	varchar(16)	The name of the forward primer used in the qPCR reaction.
qpcr_target	reverse_primer	varchar(16)	The name of the reverse primer used in the qPCR reaction.
qpcr_target	probe	varchar(16)	The name of the qPCR probe used in the the qPCR reaction.
qpcr_target	forward_primer_sequence	text	The sequence of the forward primer.
qpcr_target	reverse_primer_sequence	text	The sequence of the reverse primer.
qpcr_target	probe_sequence	text	The sequence of the probe.
mag_presence_absence	meta_id	int4	(Foreign Key) Related to 'id' column of 'meta' table.
mag_presence_absence	location_id	int4	(Foreign Key) Related to 'id' column of 'location' table.
mag_presence_absence	tax_gtdb_id	int4	(Foreign Key) Related to 'id' column of 'tax_gtdb' table.
mag_presence_absence	is_present	bool	This column shows whether the genome of a bacterial species  was reconstructed from a single sample at a minimum of medium quality following the MIMAG criteria, confirming the species' presence in that sample. Possible values: TRUE, NA.
